Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
Theirsverse Offici...,0Ξ,0,0.26Ξ,0%,24%,1,3.20%,0.02%
Grifters by XCOPY,0Ξ,0,18.95Ξ,-2.43%,78%,-1,5.10%,0.45%
Justin Aversano,0Ξ,0,145Ξ,0%,89%,0,10%,0.00%
Where My Vans Go,0Ξ,0,39.69Ξ,0%,82%,0,11.20%,-1.60%
PEGZ,0Ξ,0,16.69Ξ,0%,55%,0,5.80%,0.00%
NFTiff,0Ξ,0,39.99Ξ,0%,74%,0,1.60%,0.00%
Tom Sachs Rockets,0Ξ,0,1.58Ξ,-5.96%,56%,0,5.30%,0.00%
Ghxsts,0Ξ,0,7Ξ,0%,33%,1,8.40%,0.00%
Hedz,0Ξ,0,1.47Ξ,-1%,39%,1,8%,0.10%
QQL Mint Pass,0Ξ,0,8.9Ξ,0%,53%,0,3.70%,0.00%
Metamorphic.SevenT...,0Ξ,0,0.4Ξ,0.25%,32%,1,6.20%,0.00%
IslandG1,0Ξ,0,2.29Ξ,0%,13%,1,3.80%,0.00%
Raft,0Ξ,0,19.39Ξ,-3.49%,67%,0,6%,0.00%
DigiDaigakuSpirits,0Ξ,0,4.8Ξ,0%,55%,-1,7%,2.58%
DigiDaigakuHeroes,0Ξ,0,3.7Ξ,-5.13%,39%,12,2.90%,-0.21%
Deafbeef,0Ξ,0,54Ξ,-12.91%,44%,0,2.60%,0.45%
Mutant Garden Seed...,0Ξ,0,12.5Ξ,0%,54%,0,3.50%,0.00%
OSF,0Ξ,0,18.69Ξ,0%,87%,2,4.20%,0.48%
GentsCroquetClub,0Ξ,0,8.8Ξ,-1.13%,68%,0,2.10%,0.31%
1111 by Kevin Abos...,0Ξ,0,3.33Ξ,0%,35%,0,2.40%,-0.18%
MakersPlace Beeple,0Ξ,0,50Ξ,0%,85%,0,5.80%,0.00%
YOU THE REAL MVP,0Ξ,0,39.99Ξ,-6.98%,68%,-1,2.10%,0.48%
Space Doodles,0Ξ,0,8Ξ,0%,16%,-1,0.20%,0.02%
Colorglyphs,0Ξ,0,2.15Ξ,-0.24%,32%,0,3.20%,0.38%
Blitmap,0Ξ,0,2.6Ξ,0%,38%,0,2.10%,-0.06%
Solvency by Ezra M...,0Ξ,0,1.19Ξ,0%,49%,0,3.20%,0.00%
Synthetic Dreams,0Ξ,0,3.3Ξ,0%,54%,0,6%,0.40%
Avid Lines,0Ξ,0,1.2Ξ,0%,52%,0,5%,-0.20%
Beeple Special Edi...,0Ξ,0,88Ξ,0%,53%,0,3.90%,0.00%
Light Years Mint P...,0Ξ,0,25.5Ξ,0%,5%,0,1%,0.00%
Reveries by rem,0Ξ,0,0.02Ξ,-11.04%,43%,0,12.20%,2.50%
X MARKS THE SPOT,0Ξ,0,4.69Ξ,-6.02%,85%,0,18%,0.00%
